cinema_id;cinema_name;movie_id;movie_title;show_date;start_time
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-19;10:30
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-19;12:55
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-19;15:20
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-19;17:45
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-19;19:40
37;Cinéma Pathé Tunis City;253;Black Phone 2;2025-10-19;22:15
37;Cinéma Pathé Tunis City;298;Hopper et le Secret de la Marmotte;2025-10-19;10:30
37;Cinéma Pathé Tunis City;298;Hopper et le Secret de la Marmotte;2025-10-19;13:35
37;Cinéma Pathé Tunis City;298;Hopper et le Secret de la Marmotte;2025-10-19;15:10
37;Cinéma Pathé Tunis City;260;Gabby et la Maison Magique Le Film;2025-10-19;11:20
37;Cinéma Pathé Tunis City;260;Gabby et la Maison Magique Le Film;2025-10-19;13:30
37;Cinéma Pathé Tunis City;260;Gabby et la Maison Magique Le Film;2025-10-19;15:40
37;Cinéma Pathé Tunis City;260;Gabby et la Maison Magique Le Film;2025-10-19;17:50
37;Cinéma Pathé Tunis City;262;Tron : Ares;2025-10-19;12:40
37;Cinéma Pathé Tunis City;262;Tron : Ares;2025-10-19;17:10
37;Cinéma Pathé Tunis City;262;Tron : Ares;2025-10-19;21:35
37;Cinéma Pathé Tunis City;258;A Big Bold Beautiful Journey;2025-10-19;14:45
37;Cinéma Pathé Tunis City;258;A Big Bold Beautiful Journey;2025-10-19;20:05
37;Cinéma Pathé Tunis City;285;Marche ou crève;2025-10-19;12:25
37;Cinéma Pathé Tunis City;285;Marche ou crève;2025-10-19;22:45
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-19;11:30
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-19;14:50
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-19;16:45
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-19;18:10
37;Cinéma Pathé Tunis City;163;One Battle After Another;2025-10-19;20:00
37;Cinéma Pathé Tunis City;261;Demon Slayer: Kimetsu no Yaiba La Forteresse;2025-10-19;10:55
37;Cinéma Pathé Tunis City;261;Demon Slayer: Kimetsu no Yaiba La Forteresse;2025-10-19;15:35
37;Cinéma Pathé Tunis City;261;Demon Slayer: Kimetsu no Yaiba La Forteresse;2025-10-19;18:35
37;Cinéma Pathé Tunis City;206;Conjuring : L’heure du jugement;2025-10-19;16:00
37;Cinéma Pathé Tunis City;206;Conjuring : L’heure du jugement;2025-10-19;19:45
37;Cinéma Pathé Tunis City;206;Conjuring : L’heure du jugement;2025-10-19;21:30
37;Cinéma Pathé Tunis City;145;Karate Kid: Legends;2025-10-19;13:55
37;Cinéma Pathé Tunis City;146;Les Bad Guys 2;2025-10-19;11:15
